"GameBalanceId","LootDistributionTableEntryId"
"19758","1"
"19758","2"
"19758","3"
"19758","4"
"19758","5"
"19758","6"
"19758","7"
"19758","8"
"19758","9"
"19758","10"
"19758","11"
"19758","12"
"19758","13"
"19758","14"
"19758","15"
"19758","16"
"19758","17"
"19758","18"
"19758","19"
"19758","20"
"19758","21"
"19758","22"
"19758","23"
"19758","24"
"19758","25"
"19758","26"
"19758","27"
"19758","28"
"19758","29"
"19758","30"
"19758","31"
"19758","32"
"19758","33"
"19758","34"
"19758","35"
"19758","36"
"19758","37"
"19758","38"
"19758","39"
"19758","40"
"19758","41"
"19758","42"
"19758","43"
"19758","44"
"19758","45"
"19758","46"
"19758","47"
"19758","48"
"19758","49"
"19758","50"
"19758","51"
"19758","52"
"19758","53"
"19758","54"
"19758","55"
"19758","56"
"19758","57"
"19758","58"
"19758","59"
"19758","60"
"19758","61"
"19758","62"
"19758","63"
"19758","64"
"19758","65"
"19758","66"
"19758","67"
"19758","68"
"19758","69"
"19758","70"
"19758","71"
"19758","72"
"19758","73"
"19758","74"
"19758","75"
"19758","76"
"19758","77"
"19758","78"
"19758","79"
"19758","80"
"19758","81"
"19758","82"
"19758","83"
"19758","84"
"19758","85"
"19758","86"
"19758","87"
"19758","88"
"19758","89"
"19758","90"
"19758","91"
"19758","92"
"19758","93"
"19758","94"
"19758","95"
"19758","96"
"19758","97"
"19758","98"
"19758","99"
"19758","100"
"19758","101"
"19758","102"
"19758","103"
"19758","104"
"19758","105"
"19758","106"
"19758","107"
"19758","108"
"19758","109"
"19758","110"
"19758","111"
