"WorldId","LabelRuleId"
"50579","1"
"50582","2"
"50582","3"
"50582","4"
"50582","5"
"50582","6"
"50584","7"
"50584","8"
"50584","9"
"50584","10"
"50584","11"
"50584","12"
"50584","13"
"50584","14"
"50584","15"
"50584","16"
"50584","17"
"50584","18"
"50585","19"
"50585","20"
"71150","21"
"71150","22"
"71150","23"
"71150","24"
"71150","25"
"71150","26"
"71150","27"
"71150","28"
"71150","29"
"71150","30"
"71150","31"
"71150","32"
"71150","33"
"72636","34"
"72637","35"
"72637","36"
"73261","37"
"80057","38"
"80057","39"
"80730","40"
"86856","41"
"92126","42"
"104446","43"
"105406","44"
"105406","45"
"105406","46"
"106746","47"
"106752","48"
"106752","49"
"149898","50"
"154587","51"
"161961","52"
"161961","53"
"165797","54"
"165797","55"
"171189","56"
"199388","57"
