"LabelRuleId","LabelEntryId"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"5","6"
"6","7"
"7","8"
"8","9"
"9","10"
"10","11"
"11","12"
"11","13"
"12","14"
"12","15"
"13","16"
"14","17"
"14","18"
"15","19"
"15","20"
"15","21"
"16","22"
"17","23"
"18","24"
"19","25"
"20","26"
"21","27"
"21","28"
"22","29"
"22","30"
"22","31"
"22","32"
"22","33"
"22","34"
"22","35"
"22","36"
"22","37"
"22","38"
"22","39"
"22","40"
"23","41"
"23","42"
"23","43"
"24","44"
"24","45"
"25","46"
"25","47"
"26","48"
"26","49"
"27","50"
"27","51"
"27","52"
"27","53"
"28","54"
"29","55"
"30","56"
"31","57"
"32","58"
"32","59"
"33","60"
"33","61"
"34","62"
"35","63"
"36","64"
"37","65"
"38","66"
"39","67"
"40","68"
"41","69"
"42","70"
"43","71"
"44","72"
"45","73"
"46","74"
"47","75"
"48","76"
"49","77"
"50","78"
"52","79"
"53","80"
"54","81"
"55","82"
"56","83"
"57","84"
