"GameBalanceId","ItemLevelModifierId"
"19749","1"
"19749","2"
"19749","3"
"19749","4"
"19749","5"
"19749","6"
"19749","7"
"19749","8"
"19749","9"
"19749","10"
"19749","11"
"19749","12"
"19749","13"
"19749","14"
"19749","15"
"19749","16"
"19749","17"
"19749","18"
"19749","19"
"19749","20"
"19749","21"
"19749","22"
"19749","23"
"19749","24"
"19749","25"
"19749","26"
"19749","27"
"19749","28"
"19749","29"
"19749","30"
"19749","31"
"19749","32"
"19749","33"
"19749","34"
"19749","35"
"19749","36"
"19749","37"
"19749","38"
"19749","39"
"19749","40"
"19749","41"
"19749","42"
"19749","43"
"19749","44"
"19749","45"
"19749","46"
"19749","47"
"19749","48"
"19749","49"
"19749","50"
"19749","51"
"19749","52"
"19749","53"
"19749","54"
"19749","55"
"19749","56"
"19749","57"
"19749","58"
"19749","59"
"19749","60"
"19749","61"
"19749","62"
"19749","63"
"19749","64"
"19749","65"
"19749","66"
"19749","67"
"19749","68"
"19749","69"
"19749","70"
"19749","71"
"19749","72"
"19749","73"
"19749","74"
"19749","75"
"19749","76"
"19749","77"
"19749","78"
"19749","79"
"19749","80"
"19749","81"
"19749","82"
"19749","83"
"19749","84"
"19749","85"
"19749","86"
"19749","87"
"19749","88"
"19749","89"
"19749","90"
"19749","91"
"19749","92"
"19749","93"
"19749","94"
"19749","95"
"19749","96"
"19749","97"
"19749","98"
"19749","99"
"19749","100"
"19749","101"
"19749","102"
"19749","103"
"19749","104"
"19749","105"
"19749","106"
"19749","107"
"19749","108"
"19749","109"
"19749","110"
"19749","111"
"19749","112"
"19749","113"
"19749","114"
"19749","115"
"19749","116"
"19749","117"
"19749","118"
"19749","119"
"19749","120"
"19749","121"
"19749","122"
"19749","123"
"19749","124"
"19749","125"
"19749","126"
"19749","127"
"19749","128"
"19749","129"
"19749","130"
"19749","131"
"19749","132"
"19749","133"
"19749","134"
"19749","135"
"19749","136"
"19749","137"
"19749","138"
"19749","139"
"19749","140"
"19749","141"
"19749","142"
"19749","143"
"19749","144"
"19749","145"
"19749","146"
"19749","147"
"19749","148"
"19749","149"
"19749","150"
"19749","151"
"19749","152"
"19749","153"
"19749","154"
"19749","155"
"19749","156"
"19749","157"
"19749","158"
"19749","159"
"19749","160"
"19749","161"
"19749","162"
"19749","163"
"19749","164"
"19749","165"
"19749","166"
"19749","167"
"19749","168"
"19749","169"
"19749","170"
"19749","171"
"19749","172"
"19749","173"
"19749","174"
"19749","175"
"19749","176"
"19749","177"
"19749","178"
"19749","179"
"19749","180"
"19749","181"
"19749","182"
"19749","183"
"19749","184"
"19749","185"
"19749","186"
"19749","187"
"19749","188"
"19749","189"
"19749","190"
"19749","191"
"19749","192"
"19749","193"
"19749","194"
"19749","195"
"19749","196"
"19749","197"
"19749","198"
"19749","199"
"19749","200"
"19749","201"
"19749","202"
"19749","203"
"19749","204"
"19749","205"
"19749","206"
"19749","207"
"19749","208"
"19749","209"
"19749","210"
"19749","211"
