"TileInfoId","TagMapEntryId","Key"
"2","3196","983042"
"2","3197","983043"
"2","3198","983041"
"2","3199","983046"
"2","3200","983047"
"2","3201","983044"
"2","3202","983045"
"2","3203","983048"
"3","3204","983042"
"3","3205","983043"
"3","3206","983041"
"3","3207","983046"
"3","3208","983047"
"3","3209","983044"
"3","3210","983045"
"3","3211","983048"
"4","3212","983042"
"4","3213","983043"
"4","3214","983041"
"4","3215","983046"
"4","3216","983047"
"4","3217","983044"
"4","3218","983045"
"4","3219","983048"
"5","3220","983042"
"5","3221","983043"
"5","3222","983041"
"5","3223","983046"
"5","3224","983047"
"5","3225","983044"
"5","3226","983045"
"5","3227","983048"
"6","3228","983042"
"6","3229","983043"
"6","3230","983041"
"6","3231","983046"
"6","3232","983047"
"6","3233","983044"
"6","3234","983045"
"6","3235","983048"
"7","3236","983042"
"7","3237","983043"
"7","3238","983041"
"7","3239","983046"
"7","3240","983047"
"7","3241","983044"
"7","3242","983045"
"7","3243","983048"
"8","3244","983042"
"8","3245","983043"
"8","3246","983041"
"8","3247","983046"
"8","3248","983047"
"8","3249","983044"
"8","3250","983045"
"8","3251","983048"
"9","3252","983042"
"9","3253","983043"
"9","3254","983041"
"9","3255","983046"
"9","3256","983047"
"9","3257","983044"
"9","3258","983045"
"9","3259","983048"
"10","3260","983042"
"10","3261","983043"
"10","3262","983041"
"10","3263","983046"
"10","3264","983047"
"10","3265","983044"
"10","3266","983045"
"10","3267","983048"
"11","3268","983042"
"11","3269","983043"
"11","3270","983041"
"11","3271","983046"
"11","3272","983047"
"11","3273","983044"
"11","3274","983045"
"11","3275","983048"
"12","3276","983042"
"12","3277","983043"
"12","3278","983041"
"12","3279","983046"
"12","3280","983047"
"12","3281","983044"
"12","3282","983045"
"12","3283","983048"
"13","3284","983042"
"13","3285","983043"
"13","3286","983041"
"13","3287","983046"
"13","3288","983047"
"13","3289","983044"
"13","3290","983045"
"13","3291","983048"
"14","3292","983042"
"14","3293","983043"
"14","3294","983041"
"14","3295","983046"
"14","3296","983047"
"14","3297","983044"
"14","3298","983045"
"14","3299","983048"
"15","3300","983042"
"15","3301","983043"
"15","3302","983041"
"15","3303","983046"
"15","3304","983047"
"15","3305","983044"
"15","3306","983045"
"15","3307","983048"
"16","3308","983042"
"16","3309","983043"
"16","3310","983041"
"16","3311","983046"
"16","3312","983047"
"16","3313","983044"
"16","3314","983045"
"16","3315","983048"
"17","3316","983042"
"17","3317","983043"
"17","3318","983041"
"17","3319","983046"
"17","3320","983047"
"17","3321","983044"
"17","3322","983045"
"17","3323","983048"
"18","3324","983042"
"18","3325","983043"
"18","3326","983041"
"18","3327","983046"
"18","3328","983047"
"18","3329","983044"
"18","3330","983045"
"18","3331","983048"
"19","3332","983042"
"19","3333","983043"
"19","3334","983041"
"19","3335","983046"
"19","3336","983047"
"19","3337","983044"
"19","3338","983045"
"19","3339","983048"
"20","3340","983042"
"20","3341","983043"
"20","3342","983041"
"20","3343","983046"
"20","3344","983047"
"20","3345","983044"
"20","3346","983045"
"20","3347","983048"
"21","3348","983042"
"21","3349","983043"
"21","3350","983041"
"21","3351","983046"
"21","3352","983047"
"21","3353","983044"
"21","3354","983045"
"21","3355","983048"
"22","3356","983042"
"22","3357","983043"
"22","3358","983041"
"22","3359","983046"
"22","3360","983047"
"22","3361","983044"
"22","3362","983045"
"22","3363","983048"
"23","3364","983042"
"23","3365","983043"
"23","3366","983041"
"23","3367","983046"
"23","3368","983047"
"23","3369","983044"
"23","3370","983045"
"23","3371","983048"
"24","3372","983042"
"24","3373","983043"
"24","3374","983041"
"24","3375","983046"
"24","3376","983047"
"24","3377","983044"
"24","3378","983045"
"24","3379","983048"
"25","3380","983042"
"25","3381","983043"
"25","3382","983041"
"25","3383","983046"
"25","3384","983047"
"25","3385","983044"
"25","3386","983045"
"25","3387","983048"
"26","3388","983042"
"26","3389","983043"
"26","3390","983041"
"26","3391","983046"
"26","3392","983047"
"26","3393","983044"
"26","3394","983045"
"26","3395","983048"
"27","3396","983042"
"27","3397","983043"
"27","3398","983041"
"27","3399","983046"
"27","3400","983047"
"27","3401","983044"
"27","3402","983045"
"27","3403","983048"
"28","3404","983042"
"28","3405","983043"
"28","3406","983041"
"28","3407","983046"
"28","3408","983047"
"28","3409","983044"
"28","3410","983045"
"28","3411","983048"
"29","3412","983042"
"29","3413","983043"
"29","3414","983041"
"29","3415","983046"
"29","3416","983047"
"29","3417","983044"
"29","3418","983045"
"29","3419","983048"
"31","3488","983042"
"31","3489","983043"
"31","3490","983041"
"31","3491","983046"
"31","3492","983047"
"31","3493","983044"
"31","3494","983045"
"31","3495","983048"
"32","3496","983042"
"32","3497","983043"
"32","3498","983041"
"32","3499","983046"
"32","3500","983047"
"32","3501","983044"
"32","3502","983045"
"32","3503","983048"
"33","3504","983042"
"33","3505","983043"
"33","3506","983041"
"33","3507","983046"
"33","3508","983047"
"33","3509","983044"
"33","3510","983045"
"33","3511","983048"
"34","3512","983042"
"34","3513","983043"
"34","3514","983041"
"34","3515","983046"
"34","3516","983047"
"34","3517","983044"
"34","3518","983045"
"34","3519","983048"
"35","3520","983042"
"35","3521","983043"
"35","3522","983041"
"35","3523","983046"
"35","3524","983047"
"35","3525","983044"
"35","3526","983045"
"35","3527","983048"
"36","3528","983042"
"36","3529","983043"
"36","3530","983041"
"36","3531","983046"
"36","3532","983047"
"36","3533","983044"
"36","3534","983045"
"36","3535","983048"
"37","3536","983042"
"37","3537","983043"
"37","3538","983041"
"37","3539","983046"
"37","3540","983047"
"37","3541","983044"
"37","3542","983045"
"37","3543","983048"
"38","3544","983042"
"38","3545","983043"
"38","3546","983041"
"38","3547","983046"
"38","3548","983047"
"38","3549","983044"
"38","3550","983045"
"38","3551","983048"
"39","3552","983042"
"39","3553","983043"
"39","3554","983041"
"39","3555","983046"
"39","3556","983047"
"39","3557","983044"
"39","3558","983045"
"39","3559","983048"
"40","3560","983042"
"40","3561","983043"
"40","3562","983041"
"40","3563","983046"
"40","3564","983047"
"40","3565","983044"
"40","3566","983045"
"40","3567","983048"
"41","3568","983042"
"41","3569","983043"
"41","3570","983041"
"41","3571","983046"
"41","3572","983047"
"41","3573","983044"
"41","3574","983045"
"41","3575","983048"
"42","3576","983042"
