"GameBalanceId","ItemDropTableEntryId"
"19747","1"
"19747","2"
"19747","3"
"19747","4"
"19747","5"
"19747","6"
"19747","7"
"19747","8"
"19747","9"
"19747","10"
"19747","11"
"19747","12"
"19747","13"
"19747","14"
"19747","15"
"19747","16"
"19747","17"
"19747","18"
"19747","19"
"19747","20"
"19747","21"
"19747","22"
"19747","23"
"19747","24"
"19747","25"
"19747","26"
"19747","27"
"19747","28"
"19747","29"
"19747","30"
"19747","31"
"19747","32"
"19747","33"
"19747","34"
"19747","35"
"19747","36"
"19747","37"
"19747","38"
"19747","39"
"19747","40"
"19747","41"
"19747","42"
"19747","43"
"19747","44"
"19747","45"
"19747","46"
"19747","47"
"19747","48"
"19747","49"
"19747","50"
"19747","51"
"19747","52"
"19747","53"
"19747","54"
"19747","55"
"19747","56"
"19747","57"
"19747","58"
"19747","59"
"19747","60"
"19747","61"
"19747","62"
"19747","63"
"19747","64"
"19747","65"
"19747","66"
"19747","67"
"19747","68"
"19747","69"
"19747","70"
"19747","71"
"19747","72"
"19747","73"
"19747","74"
"19747","75"
"19747","76"
"19747","77"
"19747","78"
"19747","79"
"19747","80"
"19747","81"
"19747","82"
"19747","83"
"19747","84"
"19747","85"
"19747","86"
"19747","87"
"19747","88"
"19747","89"
"19747","90"
"19747","91"
"19747","92"
"19747","93"
"19747","94"
"19747","95"
"19747","96"
"19747","97"
"19747","98"
"19747","99"
"19747","100"
"19747","101"
"19747","102"
"19747","103"
"19747","104"
"19747","105"
"19747","106"
"19747","107"
"19747","108"
"19747","109"
"19747","110"
"19747","111"
"19747","112"
"19747","113"
"19747","114"
"19747","115"
"19747","116"
"19747","117"
"19747","118"
"19747","119"
"19747","120"
"19747","121"
"19747","122"
"19747","123"
"19747","124"
"19747","125"
"19747","126"
"19747","127"
"19747","128"
"19747","129"
"19747","130"
"19747","131"
"19747","132"
"19747","133"
"19747","134"
"19747","135"
"19747","136"
"19747","137"
"19747","138"
"19747","139"
"19747","140"
"19747","141"
"19747","142"
"19747","143"
"19747","144"
"19747","145"
"19747","146"
"19747","147"
"19747","148"
"19747","149"
"19747","150"
"19747","151"
"19747","152"
"19747","153"
"19747","154"
"19747","155"
"19747","156"
"19747","157"
"19747","158"
"19747","159"
"19747","160"
"19747","161"
"19747","162"
"19747","163"
"19747","164"
"19747","165"
"19747","166"
"19747","167"
"19747","168"
"19747","169"
"19747","170"
"19747","171"
"19747","172"
"19747","173"
"19747","174"
"19747","175"
"19747","176"
"19747","177"
"19747","178"
"19747","179"
"19747","180"
"19747","181"
"19747","182"
"19747","183"
"19747","184"
"19747","185"
"19747","186"
"19747","187"
"19747","188"
"19747","189"
"19747","190"
"19747","191"
"19747","192"
"19747","193"
"19747","194"
"19747","195"
"19747","196"
"19747","197"
"19747","198"
"19747","199"
"19747","200"
"19747","201"
"19747","202"
"19747","203"
"19747","204"
"19747","205"
"19747","206"
"19747","207"
"19747","208"
"19747","209"
"19747","210"
"19747","211"
"19747","212"
"19747","213"
"19747","214"
"19747","215"
"19747","216"
"19747","217"
"19747","218"
"19747","219"
"19747","220"
"19747","221"
"19747","222"
"19747","223"
"19747","224"
"19747","225"
"19747","226"
"19747","227"
"19747","228"
"19747","229"
"19747","230"
"19747","231"
"19747","232"
"19747","233"
"19747","234"
"19747","235"
"19747","236"
"19747","237"
"19747","238"
"19747","239"
"19747","240"
"19747","241"
"19747","242"
"19747","243"
"19747","244"
"19747","245"
"19747","246"
"19747","247"
"19747","248"
"19747","249"
"19747","250"
"19747","251"
"19747","252"
"19747","253"
"19747","254"
"19747","255"
"19747","256"
"19747","257"
"19747","258"
"19747","259"
"19747","260"
"19747","261"
"19747","262"
"19747","263"
"19747","264"
"19747","265"
"19747","266"
"19747","267"
"19747","268"
"19747","269"
"19747","270"
"19747","271"
"19747","272"
"19747","273"
"19747","274"
"19747","275"
"19747","276"
"19747","277"
"19747","278"
"19747","279"
"19747","280"
"19747","281"
"19747","282"
"19747","283"
"19747","284"
"19747","285"
"19747","286"
"19747","287"
"19747","288"
"19747","289"
"19747","290"
"19747","291"
"19747","292"
"19747","293"
"19747","294"
"19747","295"
"19747","296"
"19747","297"
"19747","298"
"19747","299"
"19747","300"
"19747","301"
"19747","302"
"19747","303"
"19747","304"
"19747","305"
"19747","306"
"19747","307"
"19747","308"
"19747","309"
"19747","310"
"19747","311"
"19747","312"
"19747","313"
"19747","314"
"19747","315"
"19747","316"
"19747","317"
"19747","318"
"19747","319"
"19747","320"
"19747","321"
"19747","322"
"19747","323"
"19747","324"
"19747","325"
"19747","326"
"19747","327"
"19747","328"
"19747","329"
"19747","330"
"19747","331"
"19747","332"
"19747","333"
"19747","334"
"19747","335"
"19747","336"
"19747","337"
"19747","338"
"19747","339"
"19747","340"
"19747","341"
"19747","342"
"19747","343"
"19747","344"
"19747","345"
"19747","346"
"19747","347"
"19747","348"
"19747","349"
"19747","350"
"19747","351"
"19747","352"
"19747","353"
"19747","354"
"19747","355"
"19747","356"
"19747","357"
"19747","358"
"19747","359"
"19747","360"
"19747","361"
"19747","362"
"19747","363"
"19747","364"
"19747","365"
"19747","366"
"19747","367"
"19747","368"
"19747","369"
"19747","370"
"19747","371"
"19747","372"
"19747","373"
"19747","374"
"19747","375"
"19747","376"
"19747","377"
"19747","378"
"19747","379"
"19747","380"
"19747","381"
"19747","382"
"19747","383"
"19747","384"
"19747","385"
"19747","386"
"19747","387"
"19747","388"
"19747","389"
"19747","390"
"19747","391"
"19747","392"
"19747","393"
"19747","394"
"19747","395"
"19747","396"
"19747","397"
"19747","398"
"19747","399"
"19747","400"
"19747","401"
"19747","402"
"19747","403"
"19747","404"
"19747","405"
"19747","406"
"19747","407"
"19747","408"
"19747","409"
"19747","410"
"19747","411"
"19747","412"
"19747","413"
"19747","414"
"19747","415"
"19747","416"
"19747","417"
"19747","418"
"19747","419"
"19747","420"
"19747","421"
"19747","422"
"19747","423"
"19747","424"
"19747","425"
"19747","426"
"19747","427"
"19747","428"
"19747","429"
"19747","430"
"19747","431"
"19747","432"
"19747","433"
"19747","434"
"19747","435"
"19747","436"
"19747","437"
"19747","438"
"19747","439"
"19747","440"
"19747","441"
"19747","442"
"19747","443"
"19747","444"
"19747","445"
"19747","446"
"19747","447"
"19747","448"
"19747","449"
"19747","450"
"19747","451"
"19747","452"
"19747","453"
"19747","454"
"19747","455"
"19747","456"
"19747","457"
"19747","458"
"19747","459"
"19747","460"
"19747","461"
"19747","462"
"19747","463"
"19747","464"
"19747","465"
"19747","466"
"19747","467"
"19747","468"
"19747","469"
"19747","470"
"19747","471"
"19747","472"
"19747","473"
"19747","474"
"19747","475"
"19747","476"
"19747","477"
"19747","478"
"19747","479"
"19747","480"
"19747","481"
"19747","482"
"19747","483"
"19747","484"
"19747","485"
"19747","486"
"19747","487"
"19747","488"
"19747","489"
"19747","490"
"19747","491"
"19747","492"
"19747","493"
"19747","494"
"19747","495"
"19747","496"
"19747","497"
"19747","498"
"19747","499"
"19747","500"
"19747","501"
"19747","502"
"19747","503"
"19747","504"
"19747","505"
"19747","506"
"19747","507"
"19747","508"
"19747","509"
"19747","510"
"19747","511"
"19747","512"
"19747","513"
"19747","514"
"19747","515"
"19747","516"
"19747","517"
"19747","518"
"19747","519"
"19747","520"
"19747","521"
"19747","522"
"19747","523"
"19747","524"
"19747","525"
"19747","526"
"19747","527"
"19747","528"
"19747","529"
"19747","530"
"19747","531"
"19747","532"
"19747","533"
"19747","534"
"19747","535"
"19747","536"
"19747","537"
"19747","538"
"19747","539"
"19747","540"
"19747","541"
"19747","542"
"19747","543"
"19747","544"
"19747","545"
"19747","546"
"19747","547"
"19747","548"
"19747","549"
"19747","550"
"19747","551"
"19747","552"
"19747","553"
"19747","554"
"19747","555"
"19747","556"
"19747","557"
"19747","558"
"19747","559"
"19747","560"
"19747","561"
"19747","562"
"19747","563"
"19747","564"
"19747","565"
"19747","566"
"19747","567"
"19747","568"
"19747","569"
"19747","570"
"19747","571"
"19747","572"
"19747","573"
"19747","574"
"19747","575"
"19747","576"
"19747","577"
"19747","578"
"19747","579"
"19747","580"
"19747","581"
"19747","582"
"19747","583"
"19747","584"
"19747","585"
"19747","586"
"19747","587"
"19747","588"
"19747","589"
"19747","590"
"19747","591"
"19747","592"
"19747","593"
"19747","594"
"19747","595"
"19747","596"
"19747","597"
"19747","598"
"19747","599"
"19747","600"
"19747","601"
"19747","602"
"19747","603"
"19747","604"
"19747","605"
