"LevelAreaSpawnPopulationId","LevelAreaSpawnGroupId"
"1","1"
"1","2"
"1","3"
"1","4"
"1","5"
"1","6"
"1","7"
"1","8"
"1","9"
"1","10"
"1","11"
"1","12"
"1","13"
"1","14"
"2","15"
"2","16"
"2","17"
"2","18"
"2","19"
"2","20"
"2","21"
"2","22"
"2","23"
"2","24"
"2","25"
"2","26"
"2","27"
"2","28"
"2","29"
"2","30"
"2","31"
"3","32"
"3","33"
"3","34"
"3","35"
"3","36"
"3","37"
"3","38"
"3","39"
"3","40"
"3","41"
"6","42"
"6","43"
"6","44"
"6","45"
"6","46"
"6","47"
"6","48"
"6","49"
"6","50"
"6","51"
"6","52"
"6","53"
"6","54"
"6","55"
"6","56"
"8","57"
"8","58"
"8","59"
"8","60"
"8","61"
"8","62"
"8","63"
"8","64"
"8","65"
"8","66"
"8","67"
"8","68"
"9","69"
"9","70"
"9","71"
"9","72"
"9","73"
"9","74"
"9","75"
"9","76"
"9","77"
"9","78"
"9","79"
"9","80"
"10","81"
"10","82"
"10","83"
"10","84"
"11","85"
"11","86"
"11","87"
"12","88"
"12","89"
"12","90"
"13","91"
"13","92"
"13","93"
"14","94"
"14","95"
"15","96"
"15","97"
"15","98"
"15","99"
"16","100"
"16","101"
"16","102"
"16","103"
"16","104"
"17","105"
"17","106"
"17","107"
"17","108"
"17","109"
"17","110"
"17","111"
"17","112"
"17","113"
"17","114"
"17","115"
"17","116"
"18","117"
"18","118"
"18","119"
"18","120"
"18","121"
"18","122"
"18","123"
"18","124"
"18","125"
"18","126"
"18","127"
"18","128"
"19","129"
"19","130"
"19","131"
"19","132"
"19","133"
"19","134"
"19","135"
"19","136"
"19","137"
"19","138"
"19","139"
"19","140"
"20","141"
"20","142"
"20","143"
"20","144"
"20","145"
"20","146"
"20","147"
"20","148"
"20","149"
"20","150"
"20","151"
"21","152"
"21","153"
"21","154"
"21","155"
"21","156"
"21","157"
"21","158"
"21","159"
"21","160"
"21","161"
"21","162"
"21","163"
"23","164"
"24","165"
"24","166"
"25","167"
"25","168"
"26","169"
"26","170"
"26","171"
"26","172"
"26","173"
"26","174"
"26","175"
"26","176"
"26","177"
"26","178"
"26","179"
"26","180"
"27","181"
"27","182"
"27","183"
"28","184"
"28","185"
"29","186"
"29","187"
"30","188"
"30","189"
"31","190"
"31","191"
"31","192"
"32","193"
"32","194"
"32","195"
"34","196"
"34","197"
"34","198"
"34","199"
"37","200"
"37","201"
"38","202"
"38","203"
"38","204"
"38","205"
"38","206"
"38","207"
"38","208"
"38","209"
"38","210"
"38","211"
"39","212"
"39","213"
"39","214"
"39","215"
"39","216"
"40","217"
"40","218"
"40","219"
"41","220"
"41","221"
"42","222"
"42","223"
"43","224"
"43","225"
"44","226"
"44","227"
"45","228"
"45","229"
"46","230"
"46","231"
"47","232"
"47","233"
"48","234"
"48","235"
"48","236"
"48","237"
"48","238"
"48","239"
"48","240"
"48","241"
"48","242"
"48","243"
"48","244"
"48","245"
"48","246"
"48","247"
"48","248"
"49","249"
"49","250"
"49","251"
"49","252"
"49","253"
"49","254"
"49","255"
"49","256"
"49","257"
"49","258"
"49","259"
"49","260"
"49","261"
"49","262"
"49","263"
"49","264"
"50","265"
"50","266"
"50","267"
"50","268"
"51","269"
"51","270"
"51","271"
"51","272"
"51","273"
"51","274"
"51","275"
"51","276"
"51","277"
"51","278"
"51","279"
"52","280"
"52","281"
"52","282"
"52","283"
"52","284"
"52","285"
"52","286"
"52","287"
"52","288"
"52","289"
"52","290"
"52","291"
"52","292"
"52","293"
"52","294"
"52","295"
"52","296"
"52","297"
"53","298"
"53","299"
"53","300"
"53","301"
"53","302"
"53","303"
"53","304"
"53","305"
"53","306"
"53","307"
"53","308"
"54","309"
"54","310"
"54","311"
"54","312"
"54","313"
"54","314"
"54","315"
"55","316"
"55","317"
"55","318"
"55","319"
"55","320"
"55","321"
"55","322"
"55","323"
"55","324"
"55","325"
"55","326"
"56","327"
"58","328"
"58","329"
"58","330"
